CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,BUILT-OUT,1950s,2018,,3744,1781,216,0,0,898,0,0,932,239
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,2018,,5304,2502,670,0,0,1533,0,0,928,473
Residential,1,ABB,ABBEYDALE,NORTHEAST,BUILT-OUT,2000s,2018,,5986,2060,435,0,0,1391,0,0,1020,475
Residential,1,CIT,CITADEL,NORTHWEST,BUILT-OUT,1980s/1990s,2018,,10209,3488,659,0,0,2968,0,0,1948,809
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,2018,,4467,1995,344,0,0,1038,0,0,1096,167
Residential,1,HAR,HARVEST HILLS,NORTH,BUILT-OUT,1980s/1990s,2018,,7418,2589,449,0,0,2140,0,0,1268,750
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2018,,8309,3885,420,0,0,2131,0,0,2136,489
Residential,1,KEL,KELVIN GROVE,SOUTH,BUILT-OUT,1960s/1970s,2018,,2362,902,77,0,0,448,0,0,484,131
Residential,1,PEN,PENBROOKE MEADOWS,EAST,BUILT-OUT,1960s/1970s,2018,,8399,3284,612,0,0,1837,0,0,1778,570
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,BUILT-OUT,1980s/1990s,2018,,1608,734,38,0,0,618,0,0,386,152
Residential,1,EVE,EVERGREEN,SOUTH,DEVELOPING,BUILDING OUT,2018,,21339,7191,1702,0,0,6009,0,0,3677,1766
Residential,1,BNF,BANFF TRAIL,CENTRE,BUILT-OUT,1950s,2018,,4165,1940,146,0,0,686,0,0,910,145
Residential,1,PKH,PARKHILL,CENTRE,BUILT-OUT,1950s,2018,,1693,936,84,0,0,463,0,0,476,60
Residential,1,NHV,NORTH HAVEN,NORTH,BUILT-OUT,1960s/1970s,2018,,2376,1009,126,0,0,658,0,0,622,139
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,2018,,9421,3007,1052,0,0,2549,0,0,1436,486
Residential,1,ROX,ROXBORO,CENTRE,BUILT-OUT,INNER CITY,2018,,396,153,0,0,0,136,0,0,88,8
Residential,1,EVN,EVANSTON,NORTH,DEVELOPING,BUILDING OUT,2018,,17251,5494,2406,0,0,4721,0,0,2422,1449
Residential,1,SHN,SHAWNESSY,SOUTH,BUILT-OUT,1980s/1990s,2018,,9352,3321,540,0,0,2656,0,0,1827,824
Residential,1,RIC,RICHMOND,CENTRE,BUILT-OUT,1950s,2018,,4882,2492,442,0,0,1411,0,0,1199,224
Residential,1,BRI,BRIDLEWOOD,SOUTH,BUILT-OUT,2000s,2018,,12708,4213,1133,0,0,3337,0,0,2096,1222
